,acc_x_left,acc_y_left,acc_z_left,gyr_x_left,gyr_y_left,gyr_z_left,acc_x_right,acc_y_right,acc_z_right,gyr_x_right,gyr_y_right,gyr_z_right,left_phase
8952,35.2989189952,11.48554848,-7.848458128,-115.4375,32.0625,-221.5625,18.5587320856,6.087340694399999,-1.1102696864,145.9375,34.1875,90.5,2
8953,40.61098516719999,8.872586200799999,-7.963313612799999,-112.8125,44.125,-242.5,18.5587320856,6.087340694399999,-1.1102696864,158.75,25.5,84.625,2
8954,41.7212548536,6.546762633599999,-7.015755863199999,-112.8125,44.125,-242.5,19.7838572568,5.522634560799999,2.7469603448,167.1875,25.3125,73.0,2
8955,37.4907444968,3.397808092,-6.029912951999999,-105.0,55.5,-264.625,20.0327108072,5.761916820799999,2.6129622792,184.625,27.375,55.0,2
8956,37.4907444968,3.397808092,-6.029912951999999,-108.375,70.5,-285.25,19.8317137088,5.991627790399999,-0.0287138711999999,205.375,26.375,35.5,2
8957,31.8436831608,-0.7274180703999998,-5.551348432,-121.9375,88.75,-304.9375,19.8317137088,5.991627790399999,-0.0287138711999999,205.375,26.375,35.5,2
8958,27.8620263544,-4.8526442328,-6.029912951999999,-133.1875,104.1875,-321.4375,19.2095798328,5.9437713384,-3.5413774479999995,219.125,29.4375,18.5625,2
8959,25.459632463999995,-8.394021680799998,-7.312465865599999,-133.1875,104.1875,-321.4375,18.5491607952,6.795616184,-6.460621019999999,216.8125,35.8125,5.5625,2
8960,24.3397914872,-10.6337036344,-8.6428752312,-128.5625,112.5,-332.25,17.5058901416,7.245466832799999,-8.470592003999998,190.4375,38.625,-4.25,2
8961,24.3397914872,-10.6337036344,-8.6428752312,-104.125,110.375,-342.375,16.835899813599998,7.2071816712,-8.796015877599999,190.4375,36.9375,-14.1875,2
8962,23.277378252799995,-12.3278220352,-9.4372923344,-66.5625,97.75,-348.75,16.835899813599998,7.2071816712,-8.796015877599999,140.8125,36.9375,-14.1875,2
8963,22.9328117984,-14.1367959208,-9.4564349152,-66.5625,97.75,-348.75,15.639488513599998,7.838886837599999,-7.7623165144,87.75,40.6875,-27.5,2
8964,24.1483656792,-15.5533469,-8.987441685599999,-23.75,77.375,-353.8125,13.935798822399995,8.9682991048,-6.498906181599999,51.625,51.3125,-44.1875,2
8965,24.1483656792,-15.5533469,-8.987441685599999,21.0625,47.0625,-358.8125,12.1363962272,9.6095755616,-5.02492746,39.0,62.5,-61.8125,2
8966,26.5316169888,-15.9553410968,-9.5712904,70.1875,17.3125,-358.625,12.1363962272,9.6095755616,-5.02492746,39.0,62.5,-61.8125,2
8967,27.6993144176,-15.3810636728,-9.9828558872,117.1875,1.3125,-353.125,10.394421374399998,9.954142016,-3.9912280968,48.75,69.375,-79.3125,2
8968,26.9623250568,-13.8975136608,-9.7914300792,117.1875,1.3125,-353.125,9.3511507208,10.164710404799996,-4.517649068799999,66.4375,70.6875,-94.75,2
8969,25.6414869816,-12.2799655832,-9.427721044,155.5,-4.8125,-344.375,8.614161359999999,10.2987084704,-6.3744794064,82.5625,64.375,-108.875,2
8970,25.6414869816,-12.2799655832,-9.427721044,177.0,-5.5,-335.5,8.0781690976,10.0785687912,-8.212167163199998,87.1875,51.125,-121.25,2
8971,24.263221164,-10.5667046016,-8.662017811999998,193.5,-2.75,-326.1875,8.0781690976,10.0785687912,-8.212167163199998,87.1875,51.125,-121.25,2
8972,22.5691027632,-7.896314579999999,-7.580461996799999,193.5,-2.6875,-316.875,7.513462963999999,9.169296203199998,-9.5521478192,78.1875,34.875,-131.0,2
8973,20.626130812,-4.1922251952,-6.1351971464,207.0625,-2.6875,-316.875,7.3986074792,7.7144600624,-10.1072826624,59.5,18.375,-139.5625,2
8974,20.626130812,-4.1922251952,-5.0057848792,219.125,-4.375,-307.125,7.542176835199999,6.278766502399999,-9.667003304,40.25,4.875,-146.0,2
8975,19.429719512,-0.4115654871999999,-5.0057848792,228.875,-9.9375,-299.0,7.542176835199999,6.278766502399999,-9.667003304,24.125,-3.25,-151.75,2
8976,18.9607262824,3.4169506728,-4.3166519704,239.125,-20.9375,-292.25,7.743173933599999,5.072783911999999,-9.1597249128,24.125,-3.25,-151.75,2
8977,18.8937272496,6.996613282399999,-3.9338003544,239.125,-20.9375,-292.25,8.2217384536,4.115654872,-8.757730716,11.4375,-5.625,-157.4375,2
8978,18.9894401536,9.6574320136,-3.7519458368,256.5,-33.3125,-287.3125,8.805587167999999,3.3595229304,-8.7673020064,-1.125,-4.0625,-163.125,2
8979,18.9894401536,9.6574320136,-3.7519458368,275.875,-45.25,-281.4375,9.2075813648,2.5459632464,-8.872586200799999,-16.5,-0.5,-169.1875,2
8980,18.8841559592,12.1268249368,-4.163511324,289.25,-56.4375,-275.0,9.2075813648,2.5459632464,-8.872586200799999,-16.5,-0.5,-169.1875,2
